Age,bx_19,bx_20
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0.0411,0.06987
16,0.0411,0.06987
17,0.0411,0.06987
18,0.0411,0.06987
19,0.0411,0.06987
20,0.0891,0.15147
21,0.0891,0.15147
22,0.0891,0.15147
23,0.0891,0.15147
24,0.0891,0.15147
25,0.0891,0.15147
26,0.0891,0.15147
27,0.0891,0.15147
28,0.0891,0.15147
29,0.0891,0.15147
30,0.0717,0.12189
31,0.0717,0.12189
32,0.0717,0.12189
33,0.0717,0.12189
34,0.0717,0.12189
35,0.0717,0.12189
36,0.0717,0.12189
37,0.0717,0.12189
38,0.0717,0.12189
39,0.0717,0.12189
40,0.0191,0.03247
41,0.0191,0.03247
42,0.0191,0.03247
43,0.0191,0.03247
44,0.0191,0.03247
45,0.0191,0.03247
46,0.0191,0.03247
47,0.0191,0.03247
48,0.0191,0.03247
49,0.0191,0.03247
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
