TaID,SiteID,GroupID,Sex,Birth_Year,Death_Year
Lauren,Old_North_End_Cemetery,1,M,1886,1888
Lauren,Old_North_End_Cemetery,1,M,1860,1899
Lauren,Old_North_End_Cemetery,1,M,1895,1896
Lauren,Old_North_End_Cemetery,1,F,1882,1887
Lauren,Old_North_End_Cemetery,1,M,1851,1886
Lauren,Old_North_End_Cemetery,1,F,1810,1891
Lauren,Old_North_End_Cemetery,1,M,1866,1878
Lauren,Old_North_End_Cemetery,1,F,1864,1892
Lauren,Old_North_End_Cemetery,1,F,1877,1891
Lauren,Old_North_End_Cemetery,1,M,1862,1898
Lauren,Old_North_End_Cemetery,1,M,1862,1898
Lauren,Old_North_End_Cemetery,1,F,1864,1897
Lauren,Old_North_End_Cemetery,1,M,1891,1892
Lauren,Old_North_End_Cemetery,1,F,1883,1898
Lauren,Old_North_End_Cemetery,1,M,1880,1892
Lauren,Old_North_End_Cemetery,1,F,1870,1898
Lauren,Old_North_End_Cemetery,1,F,1882,1892
Lauren,Old_North_End_Cemetery,1,F,1887,1893
Lauren,Old_North_End_Cemetery,1,F,1876,1887
Lauren,Old_North_End_Cemetery,1,M,1857,1887
Lauren,Old_North_End_Cemetery,1,F,1873,1879
Lauren,Old_North_End_Cemetery,1,M,1871,1887
Lauren,Old_North_End_Cemetery,1,M,1860,1887
Lauren,Old_North_End_Cemetery,1,M,1844,1891
Lauren,Old_North_End_Cemetery,1,F,1856,1884
Lauren,Old_North_End_Cemetery,1,F,1902,1994
Lauren,Old_North_End_Cemetery,1,M,1901,1998
Lauren,Old_North_End_Cemetery,1,F,1915,1988
Lauren,Old_North_End_Cemetery,1,M,1911,1973
Lauren,Old_North_End_Cemetery,1,M,1907,1985
Lauren,Old_North_End_Cemetery,1,F,1910,1961
Lauren,Old_North_End_Cemetery,1,F,1901,1905
Lauren,Old_North_End_Cemetery,1,M,1904,1918
Lauren,Old_North_End_Cemetery,1,M,1904,1973
Lauren,Old_North_End_Cemetery,1,M,1902,1982
Lauren,Old_North_End_Cemetery,1,F,1903,1981
Lauren,Old_North_End_Cemetery,1,F,1915,1943
Lauren,Old_North_End_Cemetery,1,M,1906,1992
Lauren,Old_North_End_Cemetery,1,F,1909,1962
Lauren,Old_North_End_Cemetery,1,M,1915,1965
Lauren,Old_North_End_Cemetery,1,F,1901,1976
Lauren,Old_North_End_Cemetery,1,M,1920,1954
Lauren,Old_North_End_Cemetery,1,F,1901,1936
Lauren,Old_North_End_Cemetery,1,F,1939,1969
Lauren,Old_North_End_Cemetery,1,F,1923,1990
Lauren,Old_North_End_Cemetery,1,M,1918,1995
Lauren,Old_North_End_Cemetery,1,F,1904,1949
Lauren,Old_North_End_Cemetery,1,M,1908,1964
Lauren,Old_North_End_Cemetery,1,F,1925,1941
Lauren,Old_North_End_Cemetery,1,F,1919,1982
Lauren,Old_North_End_Cemetery,2,F,1877,1884
Lauren,Old_North_End_Cemetery,2,F,1864,1866
Lauren,Old_North_End_Cemetery,2,M,1861,1896
Lauren,Old_North_End_Cemetery,2,M,1890,1894
Lauren,Old_North_End_Cemetery,2,M,1806,1873
Lauren,Old_North_End_Cemetery,2,F,1868,1871
Lauren,Old_North_End_Cemetery,2,M,1839,1899
Lauren,Old_North_End_Cemetery,2,F,1840,1898
Lauren,Old_North_End_Cemetery,2,F,1861,1888
Lauren,Old_North_End_Cemetery,2,M,1872,1896
Lauren,Old_North_End_Cemetery,2,F,1868,1870
Lauren,Old_North_End_Cemetery,2,M,1815,1872
Lauren,Old_North_End_Cemetery,2,F,1810,1895
Lauren,Old_North_End_Cemetery,2,M,1818,1878
Lauren,Old_North_End_Cemetery,2,F,1819,1893
Lauren,Old_North_End_Cemetery,2,M,1856,1888
Lauren,Old_North_End_Cemetery,2,F,1811,1873
Lauren,Old_North_End_Cemetery,2,M,1865,1886
Lauren,Old_North_End_Cemetery,2,F,1882,1887
Lauren,Old_North_End_Cemetery,2,M,1871,1892
Lauren,Old_North_End_Cemetery,2,F,1874,1892
Lauren,Old_North_End_Cemetery,2,M,1874,1895
Lauren,Old_North_End_Cemetery,2,F,1826,1875
Lauren,Old_North_End_Cemetery,2,M,1821,1882
Lauren,Old_North_End_Cemetery,2,M,1804,1879
Lauren,Old_North_End_Cemetery,2,M,1920,1992
Lauren,Old_North_End_Cemetery,2,M,1904,1915
Lauren,Old_North_End_Cemetery,2,M,1910,1963
Lauren,Old_North_End_Cemetery,2,F,1901,1970
Lauren,Old_North_End_Cemetery,2,F,1907,1991
Lauren,Old_North_End_Cemetery,2,M,1920,1978
Lauren,Old_North_End_Cemetery,2,M,1928,1939
Lauren,Old_North_End_Cemetery,2,M,1901,1965
Lauren,Old_North_End_Cemetery,2,F,1908,1982
Lauren,Old_North_End_Cemetery,2,M,1907,1973
Lauren,Old_North_End_Cemetery,2,F,1928,1937
Lauren,Old_North_End_Cemetery,2,M,1916,1986
Lauren,Old_North_End_Cemetery,2,F,1915,1997
Lauren,Old_North_End_Cemetery,2,F,1906,1988
Lauren,Old_North_End_Cemetery,2,M,1908,1967
Lauren,Old_North_End_Cemetery,2,F,1909,1993
Lauren,Old_North_End_Cemetery,2,M,1910,1965
Lauren,Old_North_End_Cemetery,2,F,1916,1984
Lauren,Old_North_End_Cemetery,2,M,1909,1917
Lauren,Old_North_End_Cemetery,2,M,1910,1955
Lauren,Old_North_End_Cemetery,2,F,1920,1979
Lauren,Old_North_End_Cemetery,2,F,1952,1955
Lauren,Old_North_End_Cemetery,2,F,1920,1977
Lauren,Old_North_End_Cemetery,2,M,1921,1977
Lauren,Old_North_End_Cemetery,2,M,1913,1929
Lauren,Old_North_End_Cemetery,3,M,1809,1888
Lauren,Old_North_End_Cemetery,3,F,1818,1857
Lauren,Old_North_End_Cemetery,3,M,1839,1863
Lauren,Old_North_End_Cemetery,3,M,1855,1857
Lauren,Old_North_End_Cemetery,3,F,1848,1898
Lauren,Old_North_End_Cemetery,3,F,1833,1862
Lauren,Old_North_End_Cemetery,3,M,1834,1898
Lauren,Old_North_End_Cemetery,3,M,1862,1879
Lauren,Old_North_End_Cemetery,3,M,1830,1899
Lauren,Old_North_End_Cemetery,3,F,1865,1893
Lauren,Old_North_End_Cemetery,3,F,1862,1899
Lauren,Old_North_End_Cemetery,3,M,1855,1895
Lauren,Old_North_End_Cemetery,3,F,1874,1893
Lauren,Old_North_End_Cemetery,3,F,1874,1894
Lauren,Old_North_End_Cemetery,3,F,1850,1862
Lauren,Old_North_End_Cemetery,3,F,1857,1878
Lauren,Old_North_End_Cemetery,3,M,1824,1896
Lauren,Old_North_End_Cemetery,3,F,1824,1897
Lauren,Old_North_End_Cemetery,3,M,1865,1899
Lauren,Old_North_End_Cemetery,3,F,1875,1885
Lauren,Old_North_End_Cemetery,3,F,1835,1868
Lauren,Old_North_End_Cemetery,3,F,1832,1878
Lauren,Old_North_End_Cemetery,3,M,1821,1899
Lauren,Old_North_End_Cemetery,3,F,1845,1898
Lauren,Old_North_End_Cemetery,3,M,1875,1895
Lauren,Old_North_End_Cemetery,3,F,1912,1922
Lauren,Old_North_End_Cemetery,3,M,1918,1921
Lauren,Old_North_End_Cemetery,3,F,1904,1996
Lauren,Old_North_End_Cemetery,3,F,1908,1996
Lauren,Old_North_End_Cemetery,3,M,1934,1976
Lauren,Old_North_End_Cemetery,3,M,1912,1997
Lauren,Old_North_End_Cemetery,3,F,1917,1999
Lauren,Old_North_End_Cemetery,3,M,1905,1970
Lauren,Old_North_End_Cemetery,3,F,1909,1995
Lauren,Old_North_End_Cemetery,3,M,1910,1988
Lauren,Old_North_End_Cemetery,3,F,1910,1992
Lauren,Old_North_End_Cemetery,3,M,1922,1998
Lauren,Old_North_End_Cemetery,3,F,1921,1989
Lauren,Old_North_End_Cemetery,3,F,1915,1935
Lauren,Old_North_End_Cemetery,3,F,1900,1963
Lauren,Old_North_End_Cemetery,3,F,1908,1932
Lauren,Old_North_End_Cemetery,3,M,1910,1961
Lauren,Old_North_End_Cemetery,3,F,1919,1960
Lauren,Old_North_End_Cemetery,3,M,1917,1934
