Date,FG,Composition,MesocosmID,TerrestrialSpRich
6-24-16,2,FR,A1,2
6-24-16,3,FRT,A2 ,3
6-24-16,1,T,A3,2
6-24-16,0,C,A4,1
6-24-16,2,RT,A5,2
6-24-16,1,R,A6,2
6-24-16,0,C,A7,2
6-24-16,1,T,A8,1
6-24-16,2,RT,B1,1
6-24-16,1,F,B2,0
6-24-16,2,FT,B3,3
6-24-16,1,T,B4,3
6-24-16,1,R,B5,2
6-24-16,1,T,B6,2
6-24-16,2,FR,B7,2
6-24-16,2,FR,B8,1
6-24-16,2,RT,C1,1
6-24-16,2,RT,C2,2
6-24-16,2,FT,C3,0
6-24-16,2,FT,C4,4
6-24-16,3,FRT,C5,0
6-24-16,0,C,C6,1
6-24-16,2,FT,C7,2
6-24-16,2,FT,C8,1
6-24-16,1,F,D1,0
6-24-16,1,R,D2,1
6-24-16,1,T,D3,1
6-24-16,3,FRT,D4,1
6-24-16,0,C,D5,1
6-24-16,2,FR,D6,1
6-24-16,1,F,D7,2
6-24-16,1,R,D8,2
6-24-16,1,R,E1,1
6-24-16,0,C,E2,0
6-24-16,3,FRT,E3,1
6-24-16,3,FRT,E4,2
6-24-16,2,FR,E5,2
6-24-16,2,RT,E6,4
6-24-16,1,F,E7,1
6-24-16,1,F,E9,1
7-8-16,2,FR,A1,6
7-8-16,3,FRT,A2 ,2
7-8-16,1,T,A3,5
7-8-16,0,C,A4,2
7-8-16,2,RT,A5,2
7-8-16,1,R,A6,6
7-8-16,0,C,A7,1
7-8-16,1,T,A8,3
7-8-16,2,RT,B1,4
7-8-16,1,F,B2,1
7-8-16,2,FT,B3,3
7-8-16,1,T,B4,5
7-8-16,1,R,B5,5
7-8-16,1,T,B6,3
7-8-16,2,FR,B7,3
7-8-16,2,FR,B8,4
7-8-16,2,RT,C1,2
7-8-16,2,RT,C2,6
7-8-16,2,FT,C3,5
7-8-16,2,FT,C4,10
7-8-16,3,FRT,C5,6
7-8-16,0,C,C6,2
7-8-16,2,FT,C7,4
7-8-16,2,FT,C8,5
7-8-16,1,F,D1,8
7-8-16,1,R,D2,7
7-8-16,1,T,D3,10
7-8-16,3,FRT,D4,15
7-8-16,0,C,D5,5
7-8-16,2,FR,D6,11
7-8-16,1,F,D7,5
7-8-16,1,R,D8,5
7-8-16,1,R,E1,7
7-8-16,0,C,E2,0
7-8-16,3,FRT,E3,8
7-8-16,3,FRT,E4,8
7-8-16,2,FR,E5,7
7-8-16,2,RT,E6,7
7-8-16,1,F,E7,1
7-8-16,1,F,E9,5
7-22-16,2,FR,A1,5
7-22-16,3,FRT,A2 ,8
7-22-16,1,T,A3,2
7-22-16,0,C,A4,1
7-22-16,2,RT,A5,2
7-22-16,1,R,A6,4
7-22-16,0,C,A7,1
7-22-16,1,T,A8,2
7-22-16,2,RT,B1,4
7-22-16,1,F,B2,3
7-22-16,2,FT,B3,3
7-22-16,1,T,B4,3
7-22-16,1,R,B5,1
7-22-16,1,T,B6,3
7-22-16,2,FR,B7,2
7-22-16,2,FR,B8,3
7-22-16,2,RT,C1,7
7-22-16,2,RT,C2,4
7-22-16,2,FT,C3,1
7-22-16,2,FT,C4,2
7-22-16,3,FRT,C5,7
7-22-16,0,C,C6,2
7-22-16,2,FT,C7,5
7-22-16,2,FT,C8,2
7-22-16,1,F,D1,3
7-22-16,1,R,D2,5
7-22-16,1,T,D3,1
7-22-16,3,FRT,D4,5
7-22-16,0,C,D5,4
7-22-16,2,FR,D6,5
7-22-16,1,F,D7,5
7-22-16,1,R,D8,3
7-22-16,1,R,E1,5
7-22-16,0,C,E2,1
7-22-16,3,FRT,E3,7
7-22-16,3,FRT,E4,5
7-22-16,2,FR,E5,4
7-22-16,2,RT,E6,4
7-22-16,1,F,E7,3
7-22-16,1,F,E9,10
8-4-16,2,FR,A1,2
8-4-16,3,FRT,A2 ,7
8-4-16,1,T,A3,4
8-4-16,0,C,A4,1
8-4-16,2,RT,A5,4
8-4-16,1,R,A6,3
8-4-16,0,C,A7,1
8-4-16,1,T,A8,1
8-4-16,2,RT,B1,3
8-4-16,1,F,B2,3
8-4-16,2,FT,B3,4
8-4-16,1,T,B4,3
8-4-16,1,R,B5,3
8-4-16,1,T,B6,2
8-4-16,2,FR,B7,3
8-4-16,2,FR,B8,1
8-4-16,2,RT,C1,1
8-4-16,2,RT,C2,3
8-4-16,2,FT,C3,1
8-4-16,2,FT,C4,2
8-4-16,3,FRT,C5,2
8-4-16,0,C,C6,1
8-4-16,2,FT,C7,3
8-4-16,2,FT,C8,3
8-4-16,1,F,D1,4
8-4-16,1,R,D2,3
8-4-16,1,T,D3,4
8-4-16,3,FRT,D4,4
8-4-16,0,C,D5,1
8-4-16,2,FR,D6,5
8-4-16,1,F,D7,5
8-4-16,1,R,D8,5
8-4-16,1,R,E1,2
8-4-16,0,C,E2,1
8-4-16,3,FRT,E3,2
8-4-16,3,FRT,E4,2
8-4-16,2,FR,E5,5
8-4-16,2,RT,E6,2
8-4-16,1,F,E7,0
8-4-16,1,F,E9,5
